Centroid,Voltage Class (kV),Owner
"-95.478307, 29.906317","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-93.928608, 29.968698","100-161","ENTERGY TEXAS, INC."
"-95.581785, 32.439100","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.117939, 31.516018","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.889301, 29.876487","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-97.549701, 33.004121","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.187429, 31.783007","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.573976, 29.807835","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-106.013592, 32.869916","100-161","NOT AVAILABLE"
"-96.849027, 32.700085","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.677658, 35.020373","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-98.582946, 29.519669","100-161","BANDERA ELECTRIC COOP, INC"
"-96.767542, 32.854036","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.255028, 29.804241","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.427110, 29.457056","100-161","BANDERA ELECTRIC COOP, INC"
"-94.619490, 32.542738","100-161","NOT AVAILABLE"
"-103.124643, 31.782920","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.285092, 32.823521","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.714018, 33.010128","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.785408, 29.002513","100-161","AEP TEXAS CENTRAL COMPANY"
"-96.958019, 33.246345","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.224479, 32.905515","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.133268, 30.062095","100-161","ENTERGY TEXAS, INC."
"-98.501570, 33.810251","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.488769, 32.757063","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.534475, 35.355516","100-161","NOT AVAILABLE"
"-95.448362, 29.648394","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.039563, 29.675264","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.490520, 29.272211","100-161","BANDERA ELECTRIC COOP, INC"
"-97.660931, 30.386309","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.020062, 29.754772","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.787037, 32.760317","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.813468, 35.105617","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-97.421618, 25.993287","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-95.194221, 30.014471","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.619393, 33.337840","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.606410, 29.789600","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.094386, 29.861193","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.183700, 29.859476","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-98.425650, 29.496015","100-161","BANDERA ELECTRIC COOP, INC"
"-93.819393, 30.161980","100-161","ENTERGY TEXAS, INC."
"-106.587448, 35.018760","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-95.208358, 29.654032","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.532638, 25.924287","100-161","NOT AVAILABLE"
"-102.981524, 34.379983","100-161","NOT AVAILABLE"
"-102.234596, 31.932900","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.238041, 29.709721","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-103.317971, 32.696201","100-161","NOT AVAILABLE"
"-103.740166, 36.267178","100-161","NOT AVAILABLE"
"-95.197691, 31.371392","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.386930, 32.209899","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.996773, 33.644448","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.039105, 29.607125","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.731796, 32.351830","100-161","SOUTHWESTERN ELECTRIC POWER CO."
"-95.412111, 29.817580","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-103.245900, 32.667276","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-100.293070, 32.036676","100-161","AEP TEXAS NORTH CO."
"-97.591611, 27.002034","100-161","AEP TEXAS CENTRAL CO."
"-98.660011, 29.339946","100-161","BANDERA ELECTRIC COOP, INC"
"-96.998764, 32.854610","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.033690, 32.721561","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.176554, 29.443573","100-161","CENTERPOINT ENERGY"
"-97.651715, 30.140168","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.556645, 33.696170","100-161","ONCOR ELECTRIC DELIVERY CO."
"-103.044595, 31.635588","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.992610, 32.796961","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.993438, 32.829639","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.236498, 30.954641","100-161","AEP TEXAS NORTH CO."
"-98.582118, 33.950811","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.438666, 33.194962","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.425325, 31.998275","100-161","NOT AVAILABLE"
"-106.138609, 36.077987","100-161","JEMEZ MOUNTAIN ELECTRIC COOPERATIVE"
"-104.052743, 31.814935","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.034726, 29.731325","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.494165, 26.000002","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-96.831689, 32.701709","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.712571, 32.929397","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.935375, 33.075462","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.700168, 32.358977","100-161","AEP TEXAS NORTH CO."
"-96.095233, 30.648227","100-161","MID-SOUTH ELECTRIC COOP ASSN"
"-103.955186, 32.459924","100-161","NOT AVAILABLE"
"-101.437741, 35.664862","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-98.288006, 29.247553","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-95.119144, 29.527147","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.425064, 26.230695","100-161","AEP TEXAS CENTRAL CO."
"-97.169381, 26.115758","100-161","AEP TEXAS CENTRAL CO."
"-97.109610, 30.925369","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.482522, 29.628422","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.624385, 30.313077","100-161","CENTERPOINT ENERGY"
"-96.908472, 32.856732","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.340500, 31.814544","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.365773, 31.951941","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.395240, 25.962679","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-95.470080, 29.639562","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.571830, 32.963993","100-161","LYNTEGAR ELECTRIC COOP, INC"
"-94.915539, 29.748579","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-106.625229, 35.113279","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-95.120834, 29.751709","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.752832, 32.909134","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.621598, 32.315687","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.873148, 32.697243","100-161","ONCOR ELECTRIC DELIVERY CO."
"-103.196160, 32.722315","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-94.952102, 29.397973","100-161","TEXAS-NEW MEXICO POWER CO."
"-94.079925, 30.980490","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-95.372552, 32.009927","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.014333, 30.771149","100-161","NOT AVAILABLE"
"-100.348078, 31.450047","100-161","COLEMAN COUNTY ELEC COOP, INC"
"-94.357029, 30.852808","100-161","SAM HOUSTON ELECTRIC COOP INC"
"-97.941190, 30.427182","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.533267, 25.938542","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-94.683167, 31.589115","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.251452, 26.081495","100-161","AEP TEXAS CENTRAL CO."
"-96.784164, 32.746866","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.584613, 32.309540","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.014392, 29.538806","100-161","CENTERPOINT ENERGY"
"-95.027273, 30.285795","100-161","CENTERPOINT ENERGY"
"-94.987291, 29.438075","100-161","CENTERPOINT ENERGY"
"-99.294655, 30.086284","100-161","PEDERNALES ELECTRIC COOP, INC"
"-95.587833, 29.619459","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-103.648671, 32.560859","100-161","NOT AVAILABLE"
"-97.258600, 32.941732","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.730500, 32.759320","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.691437, 26.151969","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-106.667306, 35.184570","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-94.713995, 31.364946","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.952974, 30.043117","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-99.429418, 29.302367","100-161","BANDERA ELECTRIC COOP, INC"
"-102.612662, 32.282985","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.902341, 29.379176","100-161","TEXAS-NEW MEXICO POWER CO."
"-103.408733, 32.649794","100-161","NOT AVAILABLE"
"-96.845729, 32.998811","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.797995, 32.760034","100-161","ONCOR ELECTRIC DELIVERY CO."
"-100.253300, 35.207317","100-161","NOT AVAILABLE"
"-97.235623, 32.004130","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.496340, 29.666994","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.297070, 32.822593","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.672588, 32.900995","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.128714, 29.658589","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-106.545033, 35.159670","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-102.558402, 33.458980","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-97.169533, 32.860169","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.784340, 32.912613","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.751763, 31.561774","100-161","COMANCHE COUNTY ELEC COOP ASSN"
"-99.585092, 33.267795","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-96.954505, 32.964676","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.715246, 32.196279","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.542362, 30.071931","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.502087, 36.081041","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-102.332289, 31.101879","100-161","AEP TEXAS NORTH CO."
"-102.537311, 31.743089","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.915638, 32.712671","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.528340, 29.720090","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.543863, 33.805732","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.721912, 30.397812","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.924795, 29.729667","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.817208, 29.625308","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.612246, 31.585118","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.448260, 27.726240","100-161","AEP TEXAS CENTRAL CO."
"-94.906257, 29.751929","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.401036, 32.942687","100-161","FARMERS ELECTRIC COOP, INC - (TX)"
"-95.119300, 29.813603","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-106.640712, 35.292768","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-96.313056, 30.674419","100-161","CITY OF BRYAN - (TX)"
"-106.667269, 35.184426","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.656011, 35.192786","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.684354, 35.166774","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-107.023346, 35.185433","100-161","NOT AVAILABLE"
"-106.646445, 35.248637","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.714194, 35.134982","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.646172, 35.182954","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.654551, 35.227918","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.653584, 35.226663","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.646138, 35.183066","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.714358, 35.135003","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.727439, 35.169794","100-161","NOT AVAILABLE"
"-106.655091, 35.211634","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.699968, 35.246079","100-161","NOT AVAILABLE"
"-106.726865, 35.118911","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-102.760992, 31.867698","100-161","TXU POWER OR TXU ELECTRIC DELIVERY"
"-101.912202, 35.132054","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-101.780814, 34.384278","100-161","NOT AVAILABLE"
"-94.055923, 30.057565","100-161","ENTERGY TEXAS, INC."
"-94.068430, 30.054902","100-161","ENTERGY TEXAS, INC."
"-94.068493, 30.055653","100-161","ENTERGY TEXAS, INC."
"-96.975737, 33.007052","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.631043, 33.551621","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.082710, 33.164922","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.080112, 32.819503","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.861882, 30.688292","100-161","CITY OF LIVINGSTON - (TX)"
"-95.371623, 29.955371","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.828525, 30.075738","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-97.296458, 32.508694","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.329428, 31.928285","100-161","EL PASO ELECTRIC CO."
"-97.350032, 27.905926","100-161","AEP TEXAS CENTRAL CO."
"-96.765471, 32.904460","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.955145, 32.920670","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.287306, 29.770183","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-106.497412, 35.139565","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-98.945984, 28.782714","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.094795, 33.230776","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.206967, 28.595132","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.698644, 30.497918","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.083486, 32.411714","100-161","NOT AVAILABLE"
"-98.334415, 30.246110","100-161","PEDERNALES ELECTRIC COOP, INC"
"-97.531282, 28.061376","100-161","AEP TEXAS CENTRAL COMPANY"
"-102.334002, 31.845288","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.918851, 32.978010","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.525879, 25.970659","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-95.573751, 29.720163","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.608959, 33.254392","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.828016, 31.109728","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.668205, 27.059626","100-161","AEP TEXAS CENTRAL COMPANY"
"-95.517478, 30.261723","100-161","CENTERPOINT ENERGY"
"-95.114982, 29.824220","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.618254, 32.881476","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.796825, 32.815321","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.858296, 32.033608","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.657961, 32.936403","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.959224, 32.694797","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.184637, 33.428193","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.347333, 26.263030","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.579523, 29.680702","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-99.512923, 32.416531","100-161","AEP TEXAS NORTH CO."
"-100.449915, 31.496775","100-161","AEP TEXAS NORTH CO."
"-106.735935, 32.360054","100-161","EL PASO ELECTRIC POWER COMPANY"
"-101.951432, 33.558080","100-161","CITY OF LUBBOCK - (TX)"
"-97.688590, 30.412646","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.363947, 29.778026","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.732094, 33.217568","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.987849, 29.765144","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.455410, 30.013076","100-161","ENTERGY TEXAS, INC."
"-96.160417, 30.998640","100-161","HOUSTON COUNTY ELEC COOP INC"
"-96.805539, 32.790983","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.416140, 32.861742","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.569954, 32.880609","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.485499, 30.434437","100-161","ENTERGY TEXAS, INC."
"-95.140211, 29.819325","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.178421, 31.491097","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.270968, 31.906718","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.831335, 29.740601","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.512148, 29.919774","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-106.605606, 35.173161","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-98.628022, 30.109196","100-161","CENTRAL TEXAS ELEC COOP, INC"
"-94.095940, 30.026872","100-161","ENTERGY TEXAS, INC."
"-97.174828, 33.278993","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.966985, 29.709719","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.310065, 33.741989","100-161","LAMB COUNTY ELECTRIC COOP, INC"
"-96.706200, 32.945804","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.848613, 33.137277","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.672682, 33.044682","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.026500, 32.802025","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.856345, 32.566405","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.181347, 26.076294","100-161","NOT AVAILABLE"
"-100.944646, 31.918292","100-161","CONCHO VALLEY ELEC COOP INC"
"-97.203612, 26.073464","100-161","AEP TEXAS CENTRAL CO."
"-97.688548, 30.412622","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.092250, 28.927509","100-161","AEP TEXAS CENTRAL CO."
"-106.597546, 31.951668","100-161","EL PASO ELECTRIC POWER COMPANY"
"-97.073619, 32.755268","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.335503, 32.762498","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.301495, 29.756299","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-93.994037, 30.410746","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-98.915293, 29.236141","100-161","BANDERA ELECTRIC COOP, INC"
"-96.765215, 32.916515","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.007850, 27.487154","100-161","AEP TEXAS CENTRAL CO."
"-95.352318, 29.763789","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.637103, 30.324083","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.967866, 27.636172","100-161","AEP TEXAS CENTRAL CO."
"-97.185337, 30.889619","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.578212, 30.673670","100-161","PEDERNALES ELECTRIC COOP, INC"
"-96.935036, 32.969724","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.271446, 31.692482","100-161","EL PASO ELECTRIC CO."
"-94.051228, 30.364850","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-102.755526, 31.695905","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.128018, 34.137567","100-161","LAMB COUNTY ELECTRIC COOP, INC"
"-97.206886, 32.850568","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.268419, 32.829926","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.387890, 29.590593","100-161","BANDERA ELECTRIC COOP, INC"
"-97.295525, 32.645377","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.314397, 30.043847","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-95.485721, 29.968252","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.752907, 26.471169","100-161","AEP TEXAS CENTRAL COMPANY"
"-98.349678, 29.544722","100-161","BANDERA ELECTRIC COOP, INC"
"-96.367866, 33.628535","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.972873, 31.470867","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.064086, 29.480785","100-161","TEXAS-NEW MEXICO POWER CO."
"-97.462164, 25.898964","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-97.460850, 32.713544","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.399746, 29.026007","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-101.830343, 34.592292","100-161","SOUTHWESTERN PUBLIC SERVICE CO"
"-96.158831, 33.633980","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.169515, 26.330872","100-161","NOT AVAILABLE"
"-96.163439, 33.130850","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.488002, 28.712396","100-161","NOT AVAILABLE"
"-97.497819, 33.333093","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.653656, 34.987043","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.602041, 35.171524","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-97.853460, 30.064945","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-96.574767, 32.948592","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.517607, 30.418288","100-161","ENTERGY TEXAS, INC."
"-97.123764, 33.651425","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.339136, 32.858220","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.247326, 29.881553","100-161","CITY OF BELLVILLE - (TX)"
"-97.960118, 30.139730","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-94.738762, 32.230360","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-95.258516, 29.473654","100-161","TEXAS-NEW MEXICO POWER CO."
"-97.183153, 33.250001","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.837625, 30.287198","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.905951, 29.373197","100-161","TEXAS-NEW MEXICO POWER CO."
"-96.073635, 32.459807","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.427348, 35.698249","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-96.384764, 29.589924","100-161","AEP TEXAS CENTRAL CO."
"-95.667130, 29.153642","100-161","TEXAS-NEW MEXICO POWER CO."
"-96.334492, 28.978688","100-161","NOT AVAILABLE"
"-98.503767, 28.695910","100-161","AEP TEXAS CENTRAL COMPANY"
"-106.720178, 35.036550","100-161","NOT AVAILABLE"
"-99.799961, 32.437799","100-161","AEP TEXAS NORTH CO."
"-99.782638, 32.394478","100-161","AEP TEXAS NORTH CO."
"-105.139469, 35.849855","100-161","MORA-SAN MIGUEL ELECTRIC COOPERATIVE"
"-97.488961, 25.939469","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-98.986836, 29.988447","100-161","BANDERA ELECTRIC COOP, INC"
"-106.609662, 35.126803","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-96.775685, 33.085808","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.576049, 29.526171","100-161","BANDERA ELECTRIC COOP, INC"
"-100.593715, 35.226266","100-161","NOT AVAILABLE"
"-93.868664, 30.641895","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-101.843291, 32.117770","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.823192, 33.486027","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.986898, 33.031749","100-161","UPSHUR RURAL ELEC COOP CORP"
"-102.450737, 30.967245","100-161","AEP TEXAS NORTH CO."
"-98.681928, 32.949728","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.370418, 29.642473","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.878615, 30.894970","100-161","TEXAS-NEW MEXICO POWER CO."
"-96.746804, 32.926373","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.926963, 29.847801","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.521352, 30.222120","100-161","NOT AVAILABLE"
"-96.713473, 32.729770","100-161","ONCOR ELECTRIC DELIVERY CO."
"-100.234231, 32.472302","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.810409, 29.397910","100-161","BANDERA ELECTRIC COOP, INC"
"-95.362345, 29.253286","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.476019, 25.942353","100-161","NOT AVAILABLE"
"-95.097032, 29.864090","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-99.044712, 29.295795","100-161","BANDERA ELECTRIC COOP, INC"
"-95.224530, 29.747135","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.456264, 29.559564","100-161","BANDERA ELECTRIC COOP, INC"
"-97.687714, 32.385484","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.763713, 32.421517","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.879208, 33.032127","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.672908, 31.362484","100-161","ONCOR ELECTRIC DELIVERY CO."
"-108.445898, 32.508461","100-161","NOT AVAILABLE"
"-97.991363, 30.352244","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.192568, 31.079644","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.332191, 32.159387","100-161","ONCOR ELECTRIC DELIVERY CO."
