Centroid,Voltage Class (kV),Owner
"-101.379557, 32.228142","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.526322, 31.769334","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.802754, 31.962629","100-161","ONCOR ELECTRIC DELIVERY CO."
"-103.248767, 31.783884","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.344839, 31.952484","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.344874, 31.952434","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.298975, 34.035313","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-103.273684, 31.767341","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.942956, 31.975767","100-161","ONCOR ELECTRIC DELIVERY CO."
"-93.779566, 30.085077","100-161","ENTERGY TEXAS, INC."
"-102.136283, 31.142277","100-161","NOT AVAILABLE"
"-103.117044, 31.275859","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.112446, 30.898854","100-161","AEP TEXAS NORTH CO."
"-102.394908, 31.074330","100-161","AEP TEXAS NORTH CO."
"-102.148367, 31.255056","100-161","NOT AVAILABLE"
"-102.132637, 31.227255","100-161","NOT AVAILABLE"
"-101.844597, 32.117974","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.538718, 31.918885","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.134753, 31.185165","100-161","NOT AVAILABLE"
"-101.612765, 31.197702","100-161","NOT AVAILABLE"
"-101.209679, 31.961236","100-161","CONCHO VALLEY ELEC COOP INC"
"-101.085801, 32.200938","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.932336, 31.588173","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.935773, 31.602274","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.903278, 31.605609","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.582417, 31.687451","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.987243, 31.598481","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.957672, 31.633419","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.977110, 31.585741","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.344403, 31.814450","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.344383, 31.814456","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.335899, 31.819604","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.330064, 31.827554","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.328497, 31.831767","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.648752, 31.403275","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.801235, 31.108547","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.610631, 31.071681","100-161","SOUTHWEST TEXAS ELEC COOP, INC"
"-97.777341, 31.086478","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.777757, 31.120180","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.294064, 30.579605","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.704892, 30.980484","100-161","ONCOR ELECTRIC DELIVERY CO."
